desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.193994,-0.512996,0.586,5.70414e-06,3.98001e-06,3.18871e-07,0.993947
-0.204,-0.513,0.586,-0.203911,-0.512988,0.585983,8.89071e-05,1.19254e-05,1.73788e-05,0.515527
-0.214,-0.513,0.586,-0.214005,-0.512995,0.585993,4.80922e-06,4.91431e-06,6.60477e-06,0.546778
-0.204,-0.513,0.586,-0.204005,-0.513005,0.586011,4.82139e-06,4.89436e-06,1.09818e-05,0.519972
-0.204,-0.503,0.586,-0.203999,-0.503095,0.586027,9.54541e-07,9.48195e-05,2.69657e-05,0.520537
-0.204,-0.513,0.586,-0.203999,-0.512992,0.585987,5.90654e-07,7.87965e-06,1.29174e-05,0.521253
-0.204,-0.523,0.586,-0.203999,-0.522991,0.58599,9.65547e-07,9.29382e-06,9.96364e-06,0.521689
-0.204,-0.513,0.586,-0.204,-0.513043,0.586015,1.3185e-07,4.3249e-05,1.51514e-05,0.519662
-0.204,-0.513,0.596,-0.203999,-0.512996,0.595947,7.33269e-07,3.53065e-06,5.30163e-05,0.514606
-0.204,-0.513,0.586,-0.204,-0.512999,0.586054,4.75113e-07,7.55099e-07,5.43728e-05,0.500384
-0.204,-0.513,0.576,-0.204,-0.512996,0.576013,2.14441e-09,4.30168e-06,1.26393e-05,0.521196
-0.204,-0.513,0.586,-0.203999,-0.512999,0.585915,9.03518e-07,6.05111e-07,8.46401e-05,0.510377
-0.209774,-0.518774,0.580226,-0.209777,-0.518769,0.580222,3.98047e-06,4.00322e-06,4.9572e-06,0.516946
-0.204,-0.513,0.586,-0.204015,-0.51302,0.585983,1.52047e-05,2.01681e-05,1.74738e-05,0.522619
-0.209774,-0.518774,0.591774,-0.209772,-0.518771,0.591767,1.32414e-06,2.90322e-06,6.8092e-06,0.517704
-0.204,-0.513,0.586,-0.204015,-0.513016,0.586017,1.51143e-05,1.603e-05,1.69308e-05,0.526561
-0.209774,-0.507226,0.580226,-0.209721,-0.50728,0.580283,5.21733e-05,5.33622e-05,5.61023e-05,0.514348
-0.204,-0.513,0.586,-0.204106,-0.512888,0.585891,0.000105731,0.000112065,0.000109274,0.52131
-0.209774,-0.507226,0.591774,-0.209753,-0.50725,0.591732,2.07412e-05,2.30695e-05,4.16445e-05,0.499067
-0.204,-0.513,0.586,-0.204013,-0.512982,0.586033,1.31559e-05,1.78055e-05,3.3474e-05,0.535862
-0.198226,-0.518774,0.580226,-0.198244,-0.518748,0.580265,1.70209e-05,2.52259e-05,3.80269e-05,0.517921
-0.204,-0.513,0.586,-0.203974,-0.513024,0.58596,2.63065e-05,2.38574e-05,4.0435e-05,0.504606
-0.198226,-0.518774,0.591774,-0.198223,-0.518772,0.591771,3.34182e-06,1.9996e-06,2.34417e-06,0.521544
-0.204,-0.513,0.586,-0.203975,-0.513024,0.586031,2.45664e-05,2.43498e-05,3.09218e-05,0.518672
-0.198226,-0.507226,0.580226,-0.198226,-0.507224,0.580233,3.74642e-07,2.14876e-06,6.96444e-06,0.522169
-0.204,-0.513,0.586,-0.203941,-0.512946,0.585931,5.85636e-05,5.44447e-05,6.9188e-05,0.507465
-0.198226,-0.507226,0.591774,-0.198243,-0.507239,0.591762,1.68694e-05,1.29954e-05,1.18869e-05,0.512612
-0.204,-0.513,0.586,-0.203945,-0.512947,0.586045,5.53253e-05,5.33868e-05,4.52701e-05,0.463186
