desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.193998,-0.512994,0.585995,1.75116e-06,5.68686e-06,4.68713e-06,0.287375
-0.204,-0.513,0.586,-0.204004,-0.513002,0.586005,3.64675e-06,2.39597e-06,5.25428e-06,0.281716
-0.214,-0.513,0.586,-0.214003,-0.513003,0.586007,3.3906e-06,3.10413e-06,6.62763e-06,0.257651
-0.204,-0.513,0.586,-0.203998,-0.512996,0.585995,2.36964e-06,4.16209e-06,4.93643e-06,0.252612
-0.204,-0.503,0.586,-0.204004,-0.502995,0.585998,3.72317e-06,4.86836e-06,1.65564e-06,0.277343
-0.204,-0.513,0.586,-0.203997,-0.513007,0.586003,3.47319e-06,6.81293e-06,2.51774e-06,0.242445
-0.204,-0.523,0.586,-0.203996,-0.523006,0.586004,3.68783e-06,6.03196e-06,4.27951e-06,0.249774
-0.204,-0.513,0.586,-0.204002,-0.512994,0.585996,2.34175e-06,6.03559e-06,4.19959e-06,0.259249
-0.204,-0.513,0.596,-0.203999,-0.512998,0.596009,7.95751e-07,2.22214e-06,9.42697e-06,0.223367
-0.204,-0.513,0.586,-0.203999,-0.513,0.585994,7.85245e-07,1.79084e-07,6.32379e-06,0.268605
-0.204,-0.513,0.576,-0.203999,-0.513,0.575994,5.23026e-07,4.18325e-07,5.96741e-06,0.240439
-0.204,-0.513,0.586,-0.204,-0.512999,0.58601,3.9141e-07,9.29043e-07,9.59033e-06,0.252947
-0.209774,-0.518774,0.580226,-0.209778,-0.518776,0.580227,4.37394e-06,2.33324e-06,1.60968e-07,0.237614
-0.204,-0.513,0.586,-0.203998,-0.512997,0.586,2.4245e-06,2.66164e-06,3.45811e-07,0.276723
-0.209774,-0.518774,0.591774,-0.209777,-0.518775,0.591776,3.23436e-06,1.30959e-06,2.26336e-06,0.221627
-0.204,-0.513,0.586,-0.203997,-0.513001,0.586008,2.89756e-06,6.85143e-07,8.05981e-06,0.269108
-0.209774,-0.507226,0.580226,-0.209777,-0.507228,0.580216,3.17462e-06,1.20668e-06,1.03005e-05,0.274665
-0.204,-0.513,0.586,-0.203996,-0.512997,0.586009,3.64485e-06,2.53039e-06,9.43457e-06,0.256459
-0.209774,-0.507226,0.591774,-0.209775,-0.507226,0.591784,1.78055e-06,7.06432e-07,1.01672e-05,0.248901
-0.204,-0.513,0.586,-0.203997,-0.513,0.585991,3.35217e-06,2.69157e-07,8.85974e-06,0.268402
-0.198226,-0.518774,0.580226,-0.198223,-0.518773,0.580216,3.04549e-06,6.48326e-07,1.08662e-05,0.266843
-0.204,-0.513,0.586,-0.204003,-0.512999,0.586005,2.74465e-06,6.65071e-07,5.41335e-06,0.263549
-0.198226,-0.518774,0.591774,-0.198223,-0.518772,0.591782,3.67506e-06,1.02044e-06,8.83601e-06,0.225829
-0.204,-0.513,0.586,-0.204002,-0.513002,0.58599,2.05987e-06,2.33542e-06,9.87722e-06,0.261316
-0.198226,-0.507226,0.580226,-0.198224,-0.507227,0.580234,2.15736e-06,4.40852e-07,7.84448e-06,0.265785
-0.204,-0.513,0.586,-0.204003,-0.513,0.586001,3.3375e-06,1.59299e-07,1.06106e-06,0.262288
-0.198226,-0.507226,0.591774,-0.198222,-0.507222,0.591772,4.46951e-06,4.15496e-06,1.37285e-06,0.260094
-0.204,-0.513,0.586,-0.204004,-0.513002,0.585999,4.23564e-06,2.04907e-06,9.73216e-07,0.251745
