desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.204,-0.513,0.586,-0.204002,-0.512997,0.586008,2.35366e-06,2.76183e-06,7.82273e-06,2.4668
-0.204,-0.913,0.586,-0.203996,-0.912999,0.586009,4.04391e-06,1.04274e-06,8.55942e-06,4.58548
-0.604,-1.013,0.586,-0.603994,-1.01301,0.585996,6.27098e-06,5.45826e-06,4.00548e-06,4.73611
-0.204,-0.913,0.586,-0.204006,-0.912992,0.585997,6.28953e-06,8.37353e-06,3.29709e-06,4.70528
0.196,-1.013,0.586,0.195999,-1.013,0.586,1.03387e-06,3.77692e-07,4.74995e-07,4.71542
-0.204,-0.513,0.286,-0.204,-0.512992,0.285996,4.65749e-08,8.29412e-06,3.56866e-06,7.97647
-0.204,-0.513,0.586,-0.203997,-0.513002,0.585999,3.31832e-06,2.31759e-06,1.235e-06,7.0164
-0.204,-0.513,0.386,-0.204001,-0.512995,0.386001,1.04482e-06,5.44564e-06,5.39939e-07,2.35417
-0.204,-1.013,0.586,-0.203994,-1.013,0.585994,6.19127e-06,4.88307e-06,6.1829e-06,6.15532
-0.204,-0.513,0.586,-0.204002,-0.513003,0.585996,1.62621e-06,3.23777e-06,3.83567e-06,5.91588
