desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z
-0.104,-0.513,0.386,-0.103997,-0.512993,0.385995,3.11472e-06,6.59398e-06,5.45954e-06
-0.204,-0.513,0.386,-0.204003,-0.513006,0.386006,3.38806e-06,5.66508e-06,5.58949e-06
-0.304,-0.513,0.386,-0.304007,-0.513004,0.386005,6.69886e-06,3.67072e-06,4.93445e-06
-0.204,-0.513,0.386,-0.203997,-0.512995,0.385996,3.3332e-06,5.46994e-06,4.47215e-06
-0.204,-0.413,0.386,-0.204003,-0.412988,0.385988,2.52134e-06,1.19678e-05,1.24968e-05
-0.204,-0.513,0.386,-0.203997,-0.513012,0.386015,2.79617e-06,1.18899e-05,1.47178e-05
-0.204,-0.613,0.386,-0.203997,-0.613009,0.386011,3.08601e-06,9.37558e-06,1.08403e-05
-0.204,-0.513,0.386,-0.204002,-0.512989,0.385986,2.12156e-06,1.14715e-05,1.39401e-05
-0.204,-0.513,0.486,-0.203999,-0.513003,0.48601,1.17357e-06,2.81321e-06,9.63976e-06
-0.204,-0.513,0.386,-0.204,-0.512996,0.385992,2.80922e-07,3.76272e-06,7.72582e-06
-0.204,-0.513,0.286,-0.204,-0.512994,0.285994,2.16397e-07,5.63616e-06,5.54781e-06
-0.204,-0.513,0.386,-0.204,-0.513004,0.386007,4.87784e-07,4.22185e-06,6.63632e-06
-0.261735,-0.570735,0.328265,-0.261742,-0.570743,0.328276,7.10767e-06,8.24441e-06,1.13891e-05
-0.204,-0.513,0.386,-0.203994,-0.512992,0.385985,5.78965e-06,8.02684e-06,1.5021e-05
-0.261735,-0.570735,0.443735,-0.26174,-0.57074,0.443739,5.38773e-06,5.12581e-06,4.22738e-06
-0.204,-0.513,0.386,-0.203995,-0.512995,0.385996,4.63908e-06,5.08267e-06,4.20825e-06
-0.261735,-0.455265,0.328265,-0.261738,-0.455259,0.328257,2.81467e-06,5.55855e-06,8.02749e-06
-0.204,-0.513,0.386,-0.203996,-0.513006,0.38601,4.27882e-06,6.18203e-06,1.04503e-05
-0.261735,-0.455265,0.443735,-0.261738,-0.455266,0.443745,2.83483e-06,8.27866e-07,1.00208e-05
-0.204,-0.513,0.386,-0.203997,-0.512997,0.385993,3.06992e-06,2.99355e-06,7.08337e-06
-0.146265,-0.570735,0.328265,-0.146261,-0.570747,0.328278,3.83696e-06,1.17763e-05,1.30126e-05
-0.204,-0.513,0.386,-0.204003,-0.513003,0.386007,2.63599e-06,2.59882e-06,7.43592e-06
-0.146265,-0.570735,0.443735,-0.14626,-0.570744,0.44374,4.82609e-06,8.48126e-06,4.66997e-06
-0.204,-0.513,0.386,-0.204004,-0.512996,0.385993,3.73749e-06,3.68821e-06,7.27345e-06
-0.146265,-0.455265,0.328265,-0.146261,-0.45526,0.328262,4.23762e-06,4.91776e-06,2.63333e-06
-0.204,-0.513,0.386,-0.204004,-0.513006,0.386005,3.97153e-06,5.77516e-06,5.42929e-06
-0.146265,-0.455265,0.443735,-0.14626,-0.455263,0.443733,4.87541e-06,1.86336e-06,1.59512e-06
-0.204,-0.513,0.386,-0.204006,-0.513008,0.386012,5.85431e-06,7.91389e-06,1.21866e-05
